City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,73.67,moderate rain,-23.1203,-134.9692,People ThankYou
10,Tarrafal,CV,75.99,scattered clouds,15.2833,-23.7667,Hotel Ixola
12,Port Alfred,ZA,63.18,clear sky,-33.5906,26.891,The Halyards Hotel
17,Bengkulu,ID,77.23,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
18,Butaritari,KI,81.9,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
19,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
26,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
28,Sakakah,SA,80.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
29,Lumby,CA,81.36,overcast clouds,50.2498,-118.969,Twin Creeks Motel
30,Russell,US,78.4,clear sky,32.3502,-85.1999,Macs
31,Jamestown,US,71.19,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
32,Mitsamiouli,KM,75.88,clear sky,-11.3847,43.2844,Foyer ADM
35,Moose Factory,CA,69.8,clear sky,51.2585,-80.6094,Cree Village Eco Lodge
37,Port Elizabeth,ZA,61.32,clear sky,-33.918,25.5701,39 On Nile Guest House
44,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
45,Palmer,US,76.6,few clouds,42.1584,-72.3287,Wedgewood Motel
46,East London,ZA,72.84,clear sky,-33.0153,27.9116,Tu Casa
47,Port Blair,IN,77.04,thunderstorm with light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
48,Kavieng,PG,84.52,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
51,Arraial Do Cabo,BR,70.88,clear sky,-22.9661,-42.0278,Pousada Porto Praia
52,La Ronge,CA,79.05,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
53,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
55,Neath,GB,63.23,clear sky,51.6632,-3.8044,The Castle Hotel
56,Vila,PT,62.71,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
58,Quatre Cocos,MU,66.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
59,Patharia,IN,84.61,overcast clouds,23.9,79.2,Maraige hool शादी घर पथरिया दमोह
60,Passagem Franca,BR,74.16,clear sky,-6.1797,-43.7836,Hotel Brasil
61,Chuy,UY,61.25,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
66,Norman Wells,CA,82.44,smoke,65.282,-126.8329,Heritage Hotel
67,Manokwari,ID,81.79,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
68,Natal,BR,75.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
72,Carutapera,BR,74.55,overcast clouds,-1.195,-46.02,Lidera
73,Lompoc,US,79.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
74,Atuona,PF,77.79,clear sky,-9.8,-139.0333,Villa Enata
76,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
77,Larreynaga,NI,80.02,broken clouds,12.6769,-86.5719,Finca El Carrizal
80,Ravar,IR,82.89,clear sky,31.2656,56.8055,computertik
86,Imbituba,BR,62.1,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
87,Fairbanks,US,74.23,light rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
88,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
91,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
96,Rocha,UY,62.24,moderate rain,-34.4833,-54.3333,Hotel Arrarte
97,Namibe,AO,62.37,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
98,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
100,Saint-Pierre,RE,68.92,clear sky,-21.3393,55.4781,Alize Plage
102,Anyang,CN,79.27,broken clouds,36.0994,114.3289,Ibis Anyang Jiefang Ave Hotel
103,Cockburn Town,TC,81.77,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
104,Sola,VU,83.07,light intensity drizzle,-13.8833,167.55,Leumerus Bungalows
105,Faanui,PF,78.12,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
106,Gaziantep,TR,71.53,clear sky,37.0594,37.3825,Novotel Gaziantep
107,Ambilobe,MG,67.35,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
108,Lagoa,PT,67.53,overcast clouds,39.05,-27.9833,Casa Das Faias
110,Souillac,MU,66.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
111,Lorengau,PG,84.47,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
112,Aklavik,CA,67.23,few clouds,68.2191,-135.0107,Aklavik Inn
113,Asau,RO,64.96,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
118,Monrovia,LR,76.1,light rain,6.3005,-10.7969,Sunset Inn
119,Puerto Ayora,EC,71.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
122,Hithadhoo,MV,83.25,light rain,-0.6,73.0833,Scoop Guest House
123,Funadhoo,MV,81.5,heavy intensity rain,6.15,73.2667,Dhaffalhu Tourist Lodge
124,Ribeira Grande,PT,68.14,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
126,Bambous Virieux,MU,66.45,light rain,-20.3428,57.7575,Casa Tia Villa
127,Lakatoro,VU,82.27,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
128,Vao,NC,76.5,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
129,Carnarvon,AU,66.72,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
131,Quelimane,MZ,63.21,clear sky,-17.8786,36.8883,Hotel Flamingo
132,Tokmak,UA,65.91,overcast clouds,47.2514,35.7058,Дом приезжих
137,Nador,MA,73.65,clear sky,35.174,-2.9287,Hôtel La Giralda
138,Yellowknife,CA,73.92,smoke,62.456,-114.3525,The Explorer Hotel
140,Fortuna,US,70.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
142,Chegdomyn,RU,72.79,moderate rain,51.1167,133.0167,Gostinitsa Bureya
144,Pangkalanbuun,ID,80.98,scattered clouds,-2.6833,111.6167,Grand Kecubung Hotel
147,Noyabrsk,RU,62.96,clear sky,63.1994,75.4507,Hotel Uyutnaya
148,Mogadishu,SO,75.6,overcast clouds,2.0371,45.3438,Hotel Juba
149,Santa Cruz De La Palma,ES,71.74,clear sky,28.6835,-17.7642,H10 Taburiente Playa
153,Guerrero Negro,MX,72.28,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
154,Merrill,US,80.37,clear sky,45.1805,-89.6835,Prairie Motel
155,Bolobo,CD,73.47,scattered clouds,-2.1667,16.2333,Hotel de Stephen
157,Caravelas,BR,70.32,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
158,Thompson,CA,71.76,broken clouds,55.7435,-97.8558,Burntwood Hotel
159,Pacific Grove,US,74.01,clear sky,36.6177,-121.9166,Lovers Point Inn
161,Tual,ID,79.34,few clouds,-5.6667,132.75,Grand Vilia Hotel
162,Mahebourg,MU,66.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
164,Puerto Escondido,MX,82.13,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
169,Kamaishi,JP,78.64,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
171,Havre-Saint-Pierre,CA,61.16,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
172,Pisco,PE,61.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
173,Sainte-Thecle,CA,68.05,clear sky,46.8168,-72.4991,Camping Lac et Forêt
176,Albina,SR,72.45,overcast clouds,5.5,-54.05,Hudace
179,Ardakan,IR,84.92,clear sky,32.31,54.0175,Ardakan Hotel
180,Biak,ID,78.31,overcast clouds,-0.9131,122.8766,Penginapan Kim
181,Nkhotakota,MW,63.43,clear sky,-12.9274,34.2961,Sitima Inn
182,Xining,CN,68.31,few clouds,36.6167,101.7667,Super Leisure Hotel
184,Surt,LY,78.26,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
185,Beyneu,KZ,77.99,clear sky,45.3167,55.2,NUR
187,Sao Filipe,CV,74.01,scattered clouds,14.8961,-24.4956,Hotel Xaguate
188,Bethel,US,78.89,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
189,Nanning,CN,81.05,clear sky,22.8167,108.3167,Nanning Travelling With Hostel
190,Guamal,CO,81.27,overcast clouds,9.1433,-74.2238,HOSTAL VILLA CASTA
191,Presidente Medici,BR,78.17,few clouds,-11.1753,-61.9014,Oliveira Palace Hotel
193,Mastic Beach,US,75.4,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
194,Katsuura,JP,76.55,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
195,Lucea,JM,84.06,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
196,Ranong,TH,78.73,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
201,Xuanhua,CN,75.36,clear sky,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
202,Maningrida,AU,75.36,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
206,Santa Isabel Do Rio Negro,BR,73.26,overcast clouds,-0.4139,-65.0192,Hotel GSA
208,Port-Gentil,GA,72.39,few clouds,-0.7193,8.7815,Fengshui Residence
210,Alta Floresta,BR,79.57,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
212,Baracoa,CU,79.16,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
213,Mweka,CD,65.89,few clouds,-4.85,21.5667,Guest House Boshab
214,Tocopilla,CL,63.37,overcast clouds,-22.092,-70.1979,Hotel Galvarino
215,San Sebastian,ES,68.65,clear sky,43.3128,-1.975,Hotel de Londres y de Inglaterra
217,Senhor Do Bonfim,BR,66.76,overcast clouds,-10.4614,-40.1894,Hotel Soul
219,Ponta Do Sol,PT,72.12,clear sky,32.6667,-17.1,Hotel do Campo
221,Zonguldak,TR,61.65,overcast clouds,41.25,31.8333,Yazioren Koyu Muhtarligi
223,Muros,ES,70.16,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
224,Nome,US,73.17,clear sky,64.5011,-165.4064,Dredge 7 Inn
225,Ulaangom,MN,65.41,light rain,49.9811,92.0667,Achit Nuur Hotel & Restaurant
227,Moba,CN,69.13,overcast clouds,33.2288,105.0179,Xinlong Hotel
228,Itaituba,BR,76.01,broken clouds,-4.2761,-55.9836,Hotel Campos
229,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
235,Khash,IR,77.86,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
236,Bongaree,AU,65.21,clear sky,-27.0797,153.1586,The Gums Anchorage
237,Jiangyou,CN,84.18,few clouds,31.7667,104.7167,Shangping Shuyuan Inn
238,Havelock,US,84.94,clear sky,34.8791,-76.9013,Sherwood Motel
239,Vila Velha,BR,66.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
240,Beira,MZ,62.69,clear sky,-19.8436,34.8389,Beira Terrace Hotel
242,Oistins,BB,82.49,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
244,Ironton,US,74.82,scattered clouds,38.5368,-82.6829,Best Western River Cities
246,San Quintin,MX,70.68,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
247,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
248,Moa,CU,80.33,overcast clouds,20.6569,-74.9403,Carmen
249,El Pueblito,MX,74.39,scattered clouds,20.5333,-100.45,Capital O Villa Bonita
250,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
251,Katherine,AU,66.52,clear sky,-14.4667,132.2667,Pine Tree Motel
252,Korla,CN,82.78,scattered clouds,41.7597,86.1469,Gulisitan Hotel
254,Sorong,ID,81.46,few clouds,-0.8833,131.25,Waigo Splash Hotel
255,Cidreira,BR,62.26,scattered clouds,-30.1811,-50.2056,Hotel Castelo
257,Castro Alves,BR,64.38,clear sky,-12.7656,-39.4283,Hotel e Restaurante do Poeta
258,Pemba,MZ,71.29,light rain,-12.974,40.5178,Guesthouse Samotina
259,Grand Gaube,MU,66.6,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
260,Paka,MY,76.98,light rain,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
261,Plainview,US,77.47,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
262,Kudahuvadhoo,MV,82.29,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
263,Vila Franca Do Campo,PT,67.19,clear sky,37.7167,-25.4333,Pestana Bahia Praia
264,Mendi,PG,67.46,broken clouds,-6.1761,143.6513,Kiburu Lodge
267,Nisia Floresta,BR,75.58,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
268,Latur,IN,70.48,overcast clouds,18.4,76.5833,Hotel Shivneri Durvankur Lodge
269,Saint-Philippe,RE,65.79,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
270,Kirakira,SB,84.22,few clouds,-10.4544,161.9205,SanBiz Lodge
271,Beaufort,MY,81.09,broken clouds,5.3473,115.7455,The Gem Hotel Beaufort
272,Fort-Shevchenko,KZ,78.01,clear sky,44.5086,50.263,Oasis hotel Bautino
273,Abatskoye,RU,64.85,broken clouds,56.2875,70.4555,Gostinitsa Abatskaya
276,Charlottesville,US,70.45,overcast clouds,38.0293,-78.4767,Hilton Garden Inn Charlottesville
277,Kathmandu,NP,71.82,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
279,Kiunga,PG,79.84,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
280,Sozopol,BG,73.74,overcast clouds,42.4167,27.7,Villa List
281,Jorochito,BO,79.0,scattered clouds,-18.05,-63.4333,Tom´s Hauss
282,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
283,Sulangan,PH,82.89,overcast clouds,11.1373,123.7228,Maia's Beach Resort
285,Warrington,GB,61.52,scattered clouds,53.3925,-2.5802,Villaggio Hotel
286,Bundaberg,AU,64.22,clear sky,-24.85,152.35,Takalvan Motel
287,Lidice,PA,79.7,overcast clouds,8.75,-79.9,unidad 109
288,High Level,CA,71.71,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
289,That Phanom,TH,78.82,overcast clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
290,Ca Mau,VN,78.51,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
291,Cocobeach,GA,74.41,overcast clouds,1.0002,9.5823,Hotel Esperance
292,Teahupoo,PF,78.76,broken clouds,-17.8333,-149.2667,Vanira Lodge
293,Mattru,SL,72.99,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
295,Oranjestad,AW,82.35,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
297,Boa Vista,BR,82.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
298,Erenhot,CN,77.94,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
299,Ratnagiri,IN,79.56,moderate rain,16.9833,73.3,Hotel Landmark
302,Qianguo,CN,80.56,scattered clouds,45.1171,124.8568,Guo'er Luosi Hotel
303,Ust-Kulom,RU,62.71,overcast clouds,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
305,Harper,LR,75.99,overcast clouds,4.375,-7.7169,Screensaver
307,Salinopolis,BR,77.07,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
310,Haines Junction,CA,67.95,scattered clouds,60.7522,-137.5108,Parkside Inn
311,Colares,PT,80.46,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
312,Hailey,US,84.79,clear sky,43.5196,-114.3153,Wood River Inn & Suites
313,Itarema,BR,78.37,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
317,Marawi,PH,77.22,overcast clouds,7.9986,124.2928,Derogongan Residence
318,Tautira,PF,76.84,overcast clouds,-17.7333,-149.15,Pension Oaoa
319,Labuhan,ID,77.54,clear sky,-6.8844,112.2051,DoubleFAG
321,Kieta,PG,84.78,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
324,Kabanjahe,ID,65.95,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
325,San-Pedro,CI,75.6,overcast clouds,4.7485,-6.6363,Hotel Maria
326,Meulaboh,ID,77.23,heavy intensity rain,4.1363,96.1285,Kost Pria
328,Babayurt,RU,72.9,clear sky,43.6002,46.7789,Теплый дом
330,Lata,PT,66.33,clear sky,40.1629,-8.3327,Casa Maquia
331,Shimoda,JP,80.96,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
333,Laje,BR,66.61,clear sky,-10.1833,-40.9667,NN Pousada
334,Hasaki,JP,84.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
335,Marsassoum,SN,80.69,light rain,12.8275,-15.9806,Djinoubor keur Samba ba
338,Tiarei,PF,84.22,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
342,Tlanchinol,MX,66.74,few clouds,20.9833,-98.65,Hotel Victoria
